Ticket_ID,Created_Date,Resolved_Date,Priority,Status,Channel,Category,Agent_ID,Customer_Name,Resolution_Time_Hours,SLA_Breached,Customer_Satisfaction
T00016,2025-04-08 00:00:00,2025-04-10 21:00:00,Medium,Closed,Phone,Software Bug,A015,Linda Sullivan,69,Yes,4
T00017,2026-03-24 00:00:00,2026-03-28 23:00:00,Critical,Open,Email,Access Request,A001,Charles Neal,119,Yes,1
T00018,2026-01-21 00:00:00,2026-01-25 13:00:00,Medium,Closed,Portal,Hardware Failure,A007,Cindy Perez,109,No,2
T00019,2025-01-31 00:00:00,2025-01-31 22:00:00,Low,Closed,Chat,Hardware Failure,A010,Martha Adams,22,No,4
T00020,2025-12-23 00:00:00,2025-12-26 22:00:00,Critical,In Progress,Phone,Software Bug,A007,Allen Richmond,94,Yes,5
T00021,2025-10-24 00:00:00,2025-10-27 23:00:00,Low,Resolved,Email,Login Issue,A019,Kevin Hubbard,95,No,5
T00022,2025-09-15 00:00:00,2025-09-19 22:00:00,Medium,Open,Email,Network Issue,A003,Brittany Whitaker,118,Yes,5
T00023,2025-12-12 00:00:00,2025-12-16 15:00:00,Critical,Open,Phone,Access Request,A020,Amanda Allen,111,Yes,2
T00024,2025-11-14 00:00:00,2025-11-14 11:00:00,High,Resolved,Phone,Software Bug,A008,Ryan White,11,No,4
T00025,2025-07-22 00:00:00,2025-07-22 17:00:00,Critical,Resolved,Email,Login Issue,A015,Deborah Ramirez,17,Yes,3
T00026,2025-02-07 00:00:00,2025-02-09 21:00:00,High,In Progress,Chat,Login Issue,A008,Jeffrey Wong,69,No,2
T00027,2025-05-26 00:00:00,2025-05-26 21:00:00,High,Open,Chat,Login Issue,A005,Elizabeth Martinez,21,No,4
T00028,2025-03-01 00:00:00,2025-03-05 18:00:00,Medium,Resolved,Chat,Access Request,A007,Oscar Armstrong,114,No,1
T00029,2025-04-15 00:00:00,2025-04-18 16:00:00,Critical,Resolved,Email,Login Issue,A021,Jennifer Williams,88,No,3
T00030,2026-03-01 00:00:00,2026-03-02 12:00:00,Low,Resolved,Phone,Software Bug,A006,Veronica Miller,36,No,1
T00031,2025-10-10 00:00:00,2025-10-13 19:00:00,Low,Open,Email,Network Issue,A018,Linda Fritz MD,91,Yes,4
T00032,2026-03-04 00:00:00,2026-03-06 00:00:00,Medium,Closed,Phone,Login Issue,A010,Jason Arnold,48,No,5
T00033,2026-02-12 00:00:00,2026-02-16 15:00:00,High,In Progress,Phone,Login Issue,A012,Elizabeth Reynolds,111,No,1
T00034,2025-11-14 00:00:00,2025-11-18 00:00:00,Medium,In Progress,Phone,Hardware Failure,A001,Michaela Neal,96,Yes,2
T00035,2026-01-13 00:00:00,2026-01-17 23:00:00,Critical,In Progress,Chat,Network Issue,A023,Michael Garrett,119,Yes,3
T00036,2025-07-15 00:00:00,2025-07-19 16:00:00,Critical,In Progress,Phone,Hardware Failure,A012,Cory Anderson,112,No,1
T00037,2026-02-25 00:00:00,2026-03-01 06:00:00,Medium,Open,Phone,Hardware Failure,A011,James Moyer,102,No,2
T00038,2026-03-19 00:00:00,2026-03-19 09:00:00,High,Closed,Chat,Login Issue,A004,Jeffrey Wells,9,No,3
T00039,2025-04-02 00:00:00,2025-04-05 03:00:00,Low,Open,Portal,Software Bug,A024,Jason Santana,75,No,3
T00040,2025-08-12 00:00:00,2025-08-15 06:00:00,Low,Closed,Phone,Software Bug,A002,Jasmine Gutierrez,78,No,5
T00041,2025-01-01 00:00:00,2025-01-03 19:00:00,Medium,Resolved,Portal,Login Issue,A022,Vincent Giles,67,No,5
T00042,2025-11-16 00:00:00,2025-11-17 17:00:00,High,Resolved,Portal,Software Bug,A013,Anita Perry,41,No,1
T00043,2025-10-11 00:00:00,2025-10-11 17:00:00,Critical,Closed,Phone,Access Request,A019,Tracy Hart,17,No,2
T00044,2025-07-27 00:00:00,2025-07-29 23:00:00,High,Resolved,Phone,Hardware Failure,A019,Sara Fields,71,No,1
T00045,2025-08-27 00:00:00,2025-08-29 09:00:00,Medium,Closed,Phone,Login Issue,A010,Vincent Everett,57,No,4
T00046,2025-02-17 00:00:00,2025-02-21 09:00:00,High,In Progress,Phone,Network Issue,A001,Mary Wilson,105,Yes,2
T00047,2025-05-06 00:00:00,2025-05-08 13:00:00,Low,Closed,Portal,Access Request,A007,Debra Thomas,61,No,5
T00048,2025-09-11 00:00:00,2025-09-13 04:00:00,Medium,Open,Email,Hardware Failure,A008,Deborah Peterson,52,Yes,2
T00049,2026-02-16 00:00:00,2026-02-19 18:00:00,Critical,Open,Phone,Login Issue,A015,Andrew Wilson,90,Yes,5
T00050,2026-02-15 00:00:00,2026-02-17 12:00:00,High,Closed,Portal,Access Request,A015,Darren Henderson,60,Yes,5
T00051,2026-01-16 00:00:00,2026-01-20 15:00:00,Critical,Resolved,Phone,Software Bug,A025,Thomas Rowe,111,No,4
T00052,2025-11-17 00:00:00,2025-11-18 07:00:00,Critical,Open,Chat,Network Issue,A009,Geoffrey Krause,31,No,3
T00053,2025-06-13 00:00:00,2025-06-17 19:00:00,Low,In Progress,Phone,Network Issue,A013,Tammy Mcmillan,115,Yes,5
T00054,2025-12-28 00:00:00,2025-12-29 04:00:00,Critical,Closed,Chat,Access Request,A015,Deborah Pennington,28,No,1
T00055,2025-02-01 00:00:00,2025-02-02 03:00:00,Critical,Open,Portal,Hardware Failure,A001,Russell Anthony,27,No,4
T00056,2025-06-02 00:00:00,2025-06-06 01:00:00,Critical,In Progress,Portal,Network Issue,A009,Kevin Lang,97,No,4
T00057,2025-09-06 00:00:00,2025-09-06 04:00:00,High,Closed,Phone,Hardware Failure,A005,Gary Chambers,4,Yes,4
T00058,2025-07-21 00:00:00,2025-07-24 04:00:00,Low,Open,Portal,Network Issue,A015,Stephen Campos,76,Yes,5
T00059,2025-01-26 00:00:00,2025-01-27 10:00:00,High,In Progress,Portal,Software Bug,A011,Curtis Ryan,34,No,4
T00060,2025-05-23 00:00:00,2025-05-27 01:00:00,High,Open,Portal,Login Issue,A024,Gregory Shelton,97,Yes,4
T00061,2025-06-29 00:00:00,2025-06-30 05:00:00,Low,Open,Phone,Network Issue,A001,Justin Jones,29,Yes,1
T00062,2025-05-03 00:00:00,2025-05-03 17:00:00,Low,In Progress,Portal,Software Bug,A025,Stephanie Blanchard,17,No,4
T00063,2025-03-27 00:00:00,2025-03-30 06:00:00,Low,In Progress,Chat,Login Issue,A019,Michael Williams,78,Yes,5
T00064,2025-06-09 00:00:00,2025-06-12 02:00:00,Critical,In Progress,Email,Access Request,A023,Randall Morgan,74,Yes,4
T00065,2025-02-22 00:00:00,2025-02-25 18:00:00,Low,Open,Chat,Access Request,A014,Abigail Watkins,90,No,3
T00066,2025-02-05 00:00:00,2025-02-07 17:00:00,Low,Closed,Portal,Login Issue,A014,Tara Flores,65,No,3
T00067,2025-11-22 00:00:00,2025-11-26 19:00:00,Medium,Closed,Phone,Access Request,A021,Robert Guzman,115,No,4
T00068,2025-11-12 00:00:00,2025-11-16 08:00:00,Critical,Closed,Portal,Access Request,A009,Robert Short,104,No,5
T00069,2026-03-13 00:00:00,2026-03-14 08:00:00,High,Closed,Phone,Hardware Failure,A019,Stephen Hunter,32,No,1
T00070,2025-06-22 00:00:00,2025-06-22 04:00:00,High,In Progress,Portal,Network Issue,A012,Joshua Ortiz,4,No,4
T00071,2025-06-24 00:00:00,2025-06-25 12:00:00,High,Open,Phone,Login Issue,A008,Sean Good,36,No,5
T00072,2025-09-08 00:00:00,2025-09-11 00:00:00,Critical,Closed,Portal,Login Issue,A003,John Benitez,72,No,2
T00073,2025-04-24 00:00:00,2025-04-26 04:00:00,High,Resolved,Portal,Access Request,A017,Joshua Robinson,52,No,2
T00074,2025-08-06 00:00:00,2025-08-10 00:00:00,High,Resolved,Portal,Software Bug,A010,Jason Garcia,96,No,5
T00075,2025-04-29 00:00:00,2025-04-29 16:00:00,High,Open,Phone,Network Issue,A007,Philip Cummings,16,No,2
T00076,2025-05-22 00:00:00,2025-05-25 21:00:00,High,Open,Phone,Software Bug,A008,William Williams,93,No,5
T00077,2025-04-02 00:00:00,2025-04-03 15:00:00,Medium,Resolved,Email,Login Issue,A018,Carolyn Singleton,39,No,1
T00078,2025-12-24 00:00:00,2025-12-24 17:00:00,Low,Open,Chat,Hardware Failure,A016,Mark Hayden,17,No,4
T00079,2025-06-24 00:00:00,2025-06-25 00:00:00,High,Closed,Email,Login Issue,A013,Eric Rose,24,No,1
T00080,2025-02-07 00:00:00,2025-02-10 02:00:00,Medium,In Progress,Chat,Login Issue,A008,Andrew Ford,74,Yes,1
T00081,2025-10-13 00:00:00,2025-10-17 02:00:00,Medium,Closed,Portal,Hardware Failure,A010,Diana Rhodes,98,No,4
T00082,2025-06-06 00:00:00,2025-06-09 01:00:00,Low,Open,Phone,Network Issue,A009,Derek Andrade,73,Yes,5
T00083,2025-03-22 00:00:00,2025-03-23 07:00:00,Low,In Progress,Email,Hardware Failure,A015,Randall Vega,31,No,2
T00084,2025-05-30 00:00:00,2025-05-30 05:00:00,High,Resolved,Portal,Login Issue,A022,Kimberly Bowman,5,Yes,2
T00085,2025-05-16 00:00:00,2025-05-20 05:00:00,Medium,Closed,Email,Access Request,A008,Douglas Park,101,Yes,5
T00086,2025-05-17 00:00:00,2025-05-21 10:00:00,Low,Open,Phone,Software Bug,A020,Chad Ross,106,No,2
T00087,2025-08-13 00:00:00,2025-08-13 16:00:00,High,Closed,Chat,Access Request,A018,Brandy Lawson,16,No,4
T00088,2025-08-13 00:00:00,2025-08-13 11:00:00,Low,Closed,Chat,Access Request,A009,Anna Johnson,11,Yes,5
T00089,2025-02-16 00:00:00,2025-02-17 06:00:00,Low,Resolved,Email,Network Issue,A016,Kimberly Martin,30,No,5
T00090,2025-05-23 00:00:00,2025-05-24 00:00:00,Critical,Closed,Email,Hardware Failure,A012,Julie Bell,24,No,5
T00091,2025-06-20 00:00:00,2025-06-21 18:00:00,Medium,Resolved,Portal,Hardware Failure,A010,David Carter,42,No,1
T00092,2026-02-21 00:00:00,2026-02-25 02:00:00,Low,Closed,Email,Software Bug,A009,Christina Ramsey,98,No,5
T00093,2025-03-01 00:00:00,2025-03-05 03:00:00,Low,Closed,Portal,Login Issue,A007,Lindsay Garcia,99,No,4
T00094,2025-11-15 00:00:00,2025-11-19 01:00:00,Critical,Open,Phone,Software Bug,A018,Catherine Hurst,97,Yes,4
T00095,2025-05-28 00:00:00,2025-05-30 09:00:00,Low,Open,Phone,Network Issue,A010,Jared Lee,57,Yes,4
T00096,2025-10-10 00:00:00,2025-10-12 05:00:00,Medium,Open,Portal,Login Issue,A021,Monica Morales,53,Yes,1
T00097,2025-09-13 00:00:00,2025-09-18 00:00:00,High,Closed,Portal,Hardware Failure,A008,Keith Lambert,120,No,3
T00098,2025-10-10 00:00:00,2025-10-10 19:00:00,Medium,In Progress,Email,Software Bug,A025,Rodney Bell,19,No,4
T00099,2025-06-24 00:00:00,2025-06-29 00:00:00,High,Open,Chat,Software Bug,A019,Brenda Lucas,120,No,5
T00100,2026-03-20 00:00:00,2026-03-20 20:00:00,Critical,Resolved,Chat,Access Request,A025,Kenneth Carpenter,20,No,4
T00101,2025-08-22 00:00:00,2025-08-27 00:00:00,Medium,In Progress,Portal,Network Issue,A025,Deborah Williams,120,No,3
T00102,2025-01-23 00:00:00,2025-01-24 17:00:00,Critical,Closed,Phone,Hardware Failure,A002,Monique Thompson,41,Yes,4
T00103,2025-09-15 00:00:00,2025-09-18 04:00:00,Low,Closed,Email,Access Request,A015,Tammy Johnson,76,Yes,3
T00104,2026-01-05 00:00:00,2026-01-05 19:00:00,Medium,Open,Portal,Software Bug,A011,Amanda Smith,19,No,4
T00105,2025-11-29 00:00:00,2025-11-29 11:00:00,Critical,Resolved,Portal,Access Request,A002,Amy Mercado,11,Yes,3
T00106,2025-05-01 00:00:00,2025-05-04 09:00:00,Medium,Open,Portal,Login Issue,A025,Michael Blackwell,81,Yes,3
T00107,2025-08-16 00:00:00,2025-08-16 22:00:00,Low,Open,Chat,Login Issue,A010,Joseph Gonzales,22,No,3
T00108,2025-07-11 00:00:00,2025-07-13 08:00:00,Medium,Closed,Phone,Network Issue,A006,Jennifer Henderson,56,Yes,2
T00109,2025-11-09 00:00:00,2025-11-13 16:00:00,Medium,Closed,Phone,Network Issue,A015,Robin Freeman,112,No,4
T00110,2025-08-24 00:00:00,2025-08-25 09:00:00,Critical,Resolved,Phone,Login Issue,A015,Joseph Crawford,33,No,1
T00111,2025-10-28 00:00:00,2025-10-29 15:00:00,High,Closed,Chat,Network Issue,A013,Cole Whitaker,39,No,4
T00112,2025-02-24 00:00:00,2025-02-25 07:00:00,High,Resolved,Chat,Login Issue,A022,Robert Swanson,31,No,4
T00113,2025-05-21 00:00:00,2025-05-21 02:00:00,Low,Closed,Chat,Network Issue,A020,Victor Evans,2,No,5
T00114,2025-04-23 00:00:00,2025-04-26 10:00:00,High,In Progress,Email,Login Issue,A010,Kelly Johnson,82,No,2
T00115,2025-01-18 00:00:00,2025-01-21 03:00:00,Medium,Open,Chat,Software Bug,A024,Robin Mays,75,No,3
T00116,2025-03-31 00:00:00,2025-04-01 02:00:00,High,Resolved,Phone,Software Bug,A016,David Smith,26,No,2
T00117,2026-01-18 00:00:00,2026-01-22 16:00:00,Low,Closed,Email,Network Issue,A025,Carla Bailey,112,Yes,3
T00118,2026-03-17 00:00:00,2026-03-20 15:00:00,High,Open,Portal,Login Issue,A009,Joseph Jackson,87,Yes,4
T00119,2025-08-21 00:00:00,2025-08-23 00:00:00,Critical,Resolved,Email,Network Issue,A016,Christopher York,48,Yes,3
T00120,2025-11-14 00:00:00,2025-11-18 18:00:00,High,In Progress,Email,Hardware Failure,A023,Brianna Madden,114,No,5
T00121,2025-11-29 00:00:00,2025-12-01 05:00:00,Medium,Open,Email,Software Bug,A016,Matthew Wilkins,53,Yes,1
T00122,2025-02-19 00:00:00,2025-02-20 07:00:00,Medium,Closed,Portal,Software Bug,A022,Barbara Strickland,31,No,5
T00123,2025-10-28 00:00:00,2025-11-01 00:00:00,Critical,Open,Portal,Access Request,A014,Andrew Hanson,96,No,2
T00124,2025-01-17 00:00:00,2025-01-20 17:00:00,Medium,Closed,Portal,Network Issue,A012,Danielle Wang,89,Yes,3
T00125,2025-12-18 00:00:00,2025-12-20 00:00:00,High,Open,Portal,Software Bug,A007,Eric Garrett,48,Yes,5
T00126,2026-03-11 00:00:00,2026-03-15 10:00:00,Low,In Progress,Email,Login Issue,A011,Mr. Aaron Jackson,106,Yes,4
T00127,2025-03-06 00:00:00,2025-03-10 05:00:00,Medium,Open,Phone,Access Request,A007,Kevin Osborn,101,Yes,5
T00128,2025-06-18 00:00:00,2025-06-22 04:00:00,Low,Resolved,Phone,Network Issue,A018,Adrian Mathews,100,No,2
T00129,2026-02-13 00:00:00,2026-02-13 23:00:00,Low,In Progress,Email,Software Bug,A008,Ronald Ross,23,No,1
T00130,2025-01-09 00:00:00,2025-01-09 23:00:00,Low,In Progress,Portal,Access Request,A004,Charles Garcia,23,Yes,3
T00131,2025-09-01 00:00:00,2025-09-03 10:00:00,Low,Closed,Phone,Access Request,A002,Paul Wade,58,No,3
T00132,2025-08-23 00:00:00,2025-08-26 11:00:00,Low,Closed,Portal,Hardware Failure,A022,Bryan Turner,83,Yes,1
T00133,2025-09-09 00:00:00,2025-09-12 20:00:00,Low,Open,Chat,Access Request,A005,Dr. Julie Saunders,92,Yes,4
T00134,2025-03-06 00:00:00,2025-03-07 12:00:00,High,Closed,Chat,Hardware Failure,A017,April Turner PhD,36,No,5
T00135,2025-02-20 00:00:00,2025-02-24 06:00:00,Medium,Closed,Portal,Network Issue,A014,Christine Frost,102,No,1
T00136,2026-02-28 00:00:00,2026-03-02 11:00:00,Critical,Open,Chat,Hardware Failure,A011,Anthony Patton,59,No,4
T00137,2025-07-11 00:00:00,2025-07-11 20:00:00,Low,Open,Email,Login Issue,A014,Leslie Simpson,20,Yes,4
T00138,2026-01-17 00:00:00,2026-01-20 23:00:00,Medium,Open,Chat,Login Issue,A014,Steven Ortiz,95,No,3
T00139,2026-03-24 00:00:00,2026-03-27 14:00:00,Low,Resolved,Chat,Software Bug,A004,Matthew Hull,86,Yes,4
T00140,2025-03-21 00:00:00,2025-03-24 13:00:00,Medium,Open,Chat,Access Request,A012,Mrs. Andrea Boone,85,Yes,4
T00141,2026-01-26 00:00:00,2026-01-27 12:00:00,Medium,Closed,Email,Access Request,A022,Lindsey Jordan,36,No,5
T00142,2025-01-15 00:00:00,2025-01-16 00:00:00,High,Resolved,Chat,Login Issue,A006,Michael Smith DDS,24,Yes,3
T00143,2025-10-17 00:00:00,2025-10-20 13:00:00,Low,In Progress,Email,Login Issue,A024,Jennifer Warren,85,Yes,4
T00144,2025-07-12 00:00:00,2025-07-14 06:00:00,High,In Progress,Chat,Software Bug,A024,David Walker,54,No,4
T00145,2026-02-02 00:00:00,2026-02-05 01:00:00,Low,Open,Phone,Network Issue,A025,Latoya Parker,73,Yes,5
T00146,2025-12-12 00:00:00,2025-12-12 11:00:00,Critical,Closed,Portal,Access Request,A015,Denise Dean,11,No,3
T00147,2025-05-20 00:00:00,2025-05-21 04:00:00,Low,Resolved,Portal,Login Issue,A010,Stephanie Alvarez,28,No,5
T00148,2025-09-27 00:00:00,2025-09-30 14:00:00,Low,In Progress,Portal,Access Request,A002,Raven Murphy,86,Yes,3
T00149,2025-04-15 00:00:00,2025-04-16 15:00:00,Medium,Resolved,Chat,Software Bug,A004,Sean Vasquez,39,Yes,2
T00150,2025-09-12 00:00:00,2025-09-16 00:00:00,Medium,In Progress,Portal,Access Request,A023,Teresa Adams,96,Yes,4
T00151,2025-09-14 00:00:00,2025-09-17 00:00:00,Low,Closed,Email,Hardware Failure,A001,Michael Williams,72,No,3
T00152,2025-02-09 00:00:00,2025-02-13 15:00:00,Critical,Closed,Portal,Software Bug,A004,Kevin Brown,111,No,3
T00153,2025-01-11 00:00:00,2025-01-12 18:00:00,Critical,Resolved,Email,Hardware Failure,A004,Angela Ortiz,42,Yes,2
T00154,2025-08-12 00:00:00,2025-08-15 04:00:00,Low,Closed,Chat,Software Bug,A008,Troy Johnson,76,No,4
T00155,2026-02-03 00:00:00,2026-02-03 22:00:00,Low,In Progress,Chat,Software Bug,A024,William Coleman,22,Yes,1
T00156,2025-05-01 00:00:00,2025-05-01 14:00:00,High,In Progress,Phone,Access Request,A005,David Mejia,14,Yes,2
T00157,2025-04-01 00:00:00,2025-04-05 03:00:00,Critical,Closed,Chat,Software Bug,A005,Kathryn Snyder,99,No,4
T00158,2025-02-04 00:00:00,2025-02-06 13:00:00,High,Resolved,Email,Software Bug,A017,John Cox,61,Yes,4
T00159,2025-06-08 00:00:00,2025-06-10 12:00:00,Low,Open,Chat,Software Bug,A003,Brett Shelton,60,Yes,4
T00160,2025-11-11 00:00:00,2025-11-14 05:00:00,Critical,Closed,Email,Hardware Failure,A019,Christina Smith,77,Yes,5
T00161,2025-06-14 00:00:00,2025-06-17 06:00:00,Medium,Open,Portal,Login Issue,A011,John Wright,78,Yes,4
T00162,2025-09-16 00:00:00,2025-09-19 11:00:00,Low,In Progress,Portal,Hardware Failure,A017,Karen Chambers,83,Yes,2
T00163,2025-07-06 00:00:00,2025-07-08 00:00:00,Critical,Closed,Chat,Access Request,A002,Randy Espinoza,48,No,3
T00164,2025-02-03 00:00:00,2025-02-04 19:00:00,Critical,Resolved,Chat,Access Request,A005,Ronnie Ferguson,43,No,1
T00165,2025-02-11 00:00:00,2025-02-14 03:00:00,High,Resolved,Portal,Network Issue,A020,Adrian Hoffman,75,Yes,2
T00166,2025-06-08 00:00:00,2025-06-11 00:00:00,High,In Progress,Email,Hardware Failure,A017,Michael Chambers,72,No,4
T00167,2025-01-10 00:00:00,2025-01-11 23:00:00,Medium,In Progress,Chat,Hardware Failure,A007,Sarah Lynch,47,Yes,3
T00168,2025-03-12 00:00:00,2025-03-12 20:00:00,High,Open,Email,Software Bug,A025,Jonathan Beck,20,Yes,1
T00169,2025-11-02 00:00:00,2025-11-04 01:00:00,Medium,In Progress,Phone,Hardware Failure,A002,Kara Travis,49,No,2
T00170,2025-07-06 00:00:00,2025-07-09 15:00:00,Critical,Resolved,Portal,Network Issue,A018,Michael Whitehead,87,Yes,2
T00171,2025-06-08 00:00:00,2025-06-12 08:00:00,Medium,Resolved,Portal,Hardware Failure,A025,Devin Williams,104,No,4
T00172,2026-02-03 00:00:00,2026-02-05 01:00:00,Critical,In Progress,Phone,Access Request,A005,Joseph Li,49,No,5
T00173,2025-01-27 00:00:00,2025-01-30 11:00:00,High,Open,Email,Software Bug,A003,Samantha Murray,83,Yes,4
T00174,2025-05-20 00:00:00,2025-05-22 10:00:00,Medium,Closed,Email,Network Issue,A015,Brian Sawyer,58,No,5
T00175,2025-01-14 00:00:00,2025-01-16 06:00:00,Critical,Resolved,Phone,Hardware Failure,A003,James Shaw,54,No,1
T00176,2025-04-25 00:00:00,2025-04-25 04:00:00,Low,Resolved,Phone,Network Issue,A002,Tanner Brown,4,No,3
T00177,2026-03-01 00:00:00,2026-03-03 13:00:00,Critical,Closed,Email,Login Issue,A001,Annette Jenkins,61,No,2
T00178,2025-04-21 00:00:00,2025-04-25 11:00:00,Critical,Open,Chat,Network Issue,A010,Christina Collins,107,Yes,2
T00179,2025-01-25 00:00:00,2025-01-26 07:00:00,Critical,Open,Email,Hardware Failure,A020,Kenneth Bell,31,Yes,4
T00180,2025-11-20 00:00:00,2025-11-22 18:00:00,Medium,In Progress,Chat,Hardware Failure,A001,Melissa Evans,66,No,5
T00181,2025-05-04 00:00:00,2025-05-07 02:00:00,Medium,Open,Chat,Login Issue,A017,James Juarez,74,Yes,4
T00182,2025-07-19 00:00:00,2025-07-23 16:00:00,Low,Closed,Chat,Software Bug,A024,Kelly Hunter,112,Yes,4
T00183,2025-07-02 00:00:00,2025-07-06 05:00:00,High,In Progress,Email,Access Request,A024,Dr. David Butler,101,No,1
T00184,2025-03-10 00:00:00,2025-03-10 06:00:00,High,In Progress,Portal,Hardware Failure,A021,Sheila Dawson,6,Yes,3
T00185,2026-02-20 00:00:00,2026-02-20 18:00:00,Critical,Open,Chat,Network Issue,A002,John Jones,18,Yes,1
T00186,2025-01-22 00:00:00,2025-01-23 17:00:00,Critical,Closed,Chat,Login Issue,A025,Heather Parrish,41,Yes,3
T00187,2025-05-27 00:00:00,2025-05-28 22:00:00,High,Resolved,Email,Software Bug,A014,Jeffrey Perry,46,No,1
T00188,2026-01-16 00:00:00,2026-01-18 09:00:00,High,In Progress,Portal,Hardware Failure,A012,Melanie Davis,57,No,4
T00189,2026-02-15 00:00:00,2026-02-15 11:00:00,Low,Closed,Phone,Access Request,A010,Michelle Pittman,11,No,4
T00190,2025-02-22 00:00:00,2025-02-22 11:00:00,High,Resolved,Portal,Access Request,A023,Travis Hansen,11,No,3
T00191,2025-03-27 00:00:00,2025-03-30 17:00:00,High,Closed,Email,Software Bug,A020,Scott Robinson,89,No,4
T00192,2025-05-21 00:00:00,2025-05-24 10:00:00,Low,Closed,Chat,Access Request,A024,Dalton Byrd,82,Yes,1
T00193,2025-01-16 00:00:00,2025-01-16 19:00:00,Critical,Open,Phone,Login Issue,A008,Thomas Glass,19,No,5
T00194,2025-07-05 00:00:00,2025-07-07 02:00:00,Low,In Progress,Portal,Software Bug,A012,Kristie Stephens,50,No,5
T00195,2026-01-26 00:00:00,2026-01-26 10:00:00,Medium,Resolved,Portal,Software Bug,A021,Martin Williams,10,No,5
T00196,2025-05-08 00:00:00,2025-05-08 15:00:00,Medium,Closed,Portal,Access Request,A004,Gary Smith,15,No,1
T00197,2026-02-01 00:00:00,2026-02-02 10:00:00,Medium,Resolved,Portal,Network Issue,A004,Amber Carpenter,34,Yes,4
T00198,2026-03-13 00:00:00,2026-03-13 10:00:00,Medium,Closed,Email,Software Bug,A022,James West,10,No,4
T00199,2025-12-30 00:00:00,2025-12-30 09:00:00,High,Resolved,Phone,Network Issue,A012,Mr. Benjamin Smith,9,Yes,5
T00200,2025-03-04 00:00:00,2025-03-05 02:00:00,Medium,Closed,Email,Software Bug,A018,Casey Francis,26,No,2
T00201,2025-08-28 00:00:00,2025-09-01 07:00:00,Medium,Open,Email,Software Bug,A013,James Jackson,103,No,5
T00202,2025-09-27 00:00:00,2025-09-29 05:00:00,Low,In Progress,Chat,Login Issue,A015,Tammy Atkins,53,No,4
T00203,2025-12-15 00:00:00,2025-12-17 19:00:00,Medium,In Progress,Phone,Hardware Failure,A017,Sarah Sullivan,67,Yes,3
T00204,2026-03-02 00:00:00,2026-03-02 16:00:00,Medium,Resolved,Phone,Network Issue,A011,Benjamin Green,16,Yes,5
T00205,2025-06-27 00:00:00,2025-06-29 19:00:00,Low,Resolved,Phone,Access Request,A009,Stephanie Cole MD,67,Yes,3
T00206,2025-11-17 00:00:00,2025-11-18 15:00:00,Low,In Progress,Phone,Network Issue,A022,Christopher Jones,39,No,5
T00207,2026-03-08 00:00:00,2026-03-12 23:00:00,Low,Open,Email,Login Issue,A021,Michael Williams,119,No,5
T00208,2025-11-30 00:00:00,2025-12-01 03:00:00,Critical,Open,Portal,Access Request,A010,Samuel Morris,27,No,5
T00209,2025-09-05 00:00:00,2025-09-06 08:00:00,High,Closed,Email,Login Issue,A006,Robert Wolfe,32,No,4
T00210,2025-08-01 00:00:00,2025-08-03 14:00:00,Medium,Resolved,Phone,Software Bug,A023,John Ayala,62,No,4
T00211,2026-01-11 00:00:00,2026-01-15 15:00:00,Critical,In Progress,Chat,Access Request,A018,Nicole Sanchez,111,Yes,3
